person,name_x,party_x,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio,party_short,Last_name,Suffix,LastName,ID_NameParty,Pure_name,FirstName,first,last,party_y,donations2012,donations2014,donations2016,donations2018,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
412412,"Rep. Frederica Wilson [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.8,0.5,D, Frederica Wilson ,Wilson,Wilson,FredericaWilsonD, Frederica Wilson ,Frederica,Frederica,Wilson,D,,,,,13719198.0,Q461504,Frederica_Wilson,Frederica Wilson,female,black,,1942-11-05,,"25.78333,-80.21667",,4.0,True,True,True,True
412418,"Rep. Colleen Hanabusa [D, 2011-2014]",Democrat,0.0,,,,D, Colleen Hanabusa ,Hanabusa,Hanabusa,ColleenHanabusaD, Colleen Hanabusa ,Colleen,,,,,,,,,,,,,,,,,,,,,,,
412432,"Rep. Cedric Richmond [D, 2011-2021]",Democrat,0.5,0.3333333333333333,0.6,1.0,D, Cedric Richmond ,Richmond,Richmond,CedricRichmondD, Cedric Richmond ,Cedric,Cedric,Richmond,D,0.0,1000.0,2500.0,10000.0,26323292.0,Q561284,Cedric_Richmond,Cedric Richmond,male,black,,1973-09-13,,"29.96667,-90.05",,4.0,True,True,True,True
412435,"Rep. William Keating [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, William Keating ,Keating,Keating,WilliamKeatingD, William Keating ,William,William,Keating,D,,,,,25616173.0,Q775412,Bill_Keating_(politician),William Keating,male,white,,1952-09-06,,"42.19444,-71.2",,4.0,True,True,True,True
412470,"Rep. David Cicilline [D, 2011-2022]",Democrat,0.0,0.3333333333333333,0.8,1.0,D, David Cicilline ,Cicilline,Cicilline,DavidCicillineD, David Cicilline ,David,David,Cicilline,D,2000.0,500.0,1250.0,2550.0,1330350.0,Q938498,David_Cicilline,David Cicilline,male,white,,1961-07-15,,"41.83083,-71.415",,4.0,True,True,True,True
412498,"Rep. Janice Hahn [D, 2013-2016]",Democrat,0.0,0.3333333333333333,,,D, Janice Hahn ,Hahn,Hahn,JaniceHahnD, Janice Hahn ,Janice,,,,,,,,,,,,,,,,,,,,,,,
412501,"Rep. Suzanne Bonamici [D, 2012-2022]",Democrat,0.0,0.3333333333333333,0.8,1.0,D, Suzanne Bonamici ,Bonamici,Bonamici,SuzanneBonamiciD, Suzanne Bonamici ,Suzanne,Suzanne,Bonamici,D,,,,,10174089.0,Q45946,Suzanne_Bonamici,Suzanne Bonamici,female,white,,1954-10-14,,"42.33167,-83.0475",,4.0,True,True,True,True
412502,"Rep. Ron Barber [D, 2013-2014]",Democrat,0.75,,,,D, Ron Barber ,Barber,Barber,RonBarberD, Ron Barber ,Ron,,,,,,,,,,,,,,,,,,,,,,,
412505,"Rep. Suzan DelBene [D, 2012-2022]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, Suzan DelBene ,DelBene,DelBene,SuzanDelBeneD, Suzan DelBene ,Suzan,Suzan,DelBene,D,0.0,1500.0,2500.0,0.0,21763937.0,Q2091892,Suzan_DelBene,Suzan DelBene,female,white,,1962-02-17,,"32.41,-87.02",,4.0,True,True,True,True
412506,"Rep. Donald Payne Jr. [D, 2012-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0,D, Donald Payne  ,Payne,Payne,DonaldPayneD, Donald Payne  ,Donald,Donald,Payne,D,,,,,35941258.0,Q1240224,Donald_Payne_Jr.,Donald Payne Jr.,male,black,,1958-12-16,,"40.73528,-74.185",,4.0,True,True,True,True
