person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
64,2016,0.0,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,1500.0,2500.0,0,1,0,0,0,0,0,1,1,0,0.1899,TRAINING
64,2018,1500.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,,0.0,0,1,0,0,0,0,0,1,1,0,0.1899,TRAINING
65,2012,1000.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.7734,TESTING
65,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,7500.0,1000.0,0,1,0,0,0,0,0,1,1,0,0.7734,TESTING
65,2016,7500.0,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,4500.0,0.0,0,1,0,0,0,0,0,1,1,0,0.7734,TESTING
65,2018,4500.0,1.0,1.0,1.0,1.0,1.0,,7500.0,0,1,0,0,0,0,0,1,1,0,0.7734,TESTING
66,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.1267,TRAINING
66,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.1267,TRAINING
66,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.1267,TRAINING
66,2012,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.1267,TRAINING
68,2012,0.0,0.25,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,2600.0,,1,0,0,0,0,0,0,1,1,0,0.1528,TRAINING
68,2014,2600.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,2610.0,0.0,1,0,0,0,0,0,0,1,1,0,0.1528,TRAINING
68,2016,2610.0,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,1602.0,2600.0,1,0,0,0,0,0,0,1,1,0,0.1528,TRAINING
